,isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos
6362,INE777K01022,RRKABEL,R R Kabel Limited,Asia / Pacific,Asia / Pacific,IN,INR,NSEI,Industrials,Electrical Equipment,Mid Cap,Growth,2925.8,2946.69,2493.6,2106.3077,2106.3221949013127,2056.8871839136273,2156.0175043738955,-0.1553087123430717,-1.672879815613406,0.0,-0.15531452518447225,0.7209,,,,13.0,-0.14714630447589774,0.10155875232317546,-0.30387973279935826,-0.15348027953156182,0.028401795826343952,0.0774375
6364,INE947Q01028,LAURUSLABS,Laurus Labs Limited,Asia / Pacific,Asia / Pacific,IN,INR,NSEI,Health Care,Pharmaceuticals,Large Cap,Growth,8967.22,9230.3,1601.2,1162.4615,1350.8314134786126,1317.673403714986,1383.922738819644,-0.15636309425517464,-1.6780292687373422,0.0,-0.2740060579565326,0.4466,1.5095,,0.6648,13.0,-0.14938336586550707,0.10529530011516959,-0.30898395717889615,-0.1551363667677485,0.03433663516645002,0.0810625
6370,INE120A01034,CARBORUNIV,Carborundum Universal Limited,Asia / Pacific,Asia / Pacific,IN,INR,NSEI,Materials,Chemicals,Small Cap,Growth,2103.19,2084.62,1064.3,975.1667,891.0959923453951,858.5884181525223,924.2004872929325,-0.16273983618773114,-1.709589528603037,0.0,-0.083748285257916,0.2458,0.6238,3.5185,-0.033,6.0,-0.1509609715004753,0.1397770891193396,-0.35472665130964354,-0.16293009772540568,0.09287760950844738,0.13125
6373,US3846371041,GHC,Graham Holdings Company,United States and Canada,United States and Canada,US,USD,NYSE,Consumer Discretionary,Diversified Consumer Services,Small Cap,Core,4974.17,5294.81,1154.88,990.0,959.7136482826904,918.4780054453261,1002.9576004711308,-0.1689927539807662,-1.7406319266093908,0.0,-0.14276807980049874,0.0564,0.85,1.5139,0.2658,1.0,-0.10502505275453007,0.35891691424058036,-0.5451272131404306,-0.1691047947128276,0.5523621259625813,0.301125
6374,US4448591028,HUM,Humana Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Health Care,Health Care Providers and Services,Large Cap,Value,46742.34,56228.34,389.32,347.9583,322.5774993871565,315.19470302424406,330.1340754721134,-0.17143352669485945,-1.7518966120765984,0.0,-0.10624088153703894,0.5313,-0.1314,1.4068,-0.0379,24.0,-0.1677605822565608,0.08088862577321539,-0.2914645633099008,-0.17136361720605664,-0.032803523446199405,0.026375
6380,US34959E1091,FTNT,Fortinet Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,Software,Large Cap,Growth,111633.64,108905.94,152.37,133.0,123.33905644329639,120.5810169868043,126.07527462750994,-0.1905292613815318,-1.8474644488389238,0.0,-0.12712476209227538,0.9188,1.7632,20.3045,0.2537,37.0,-0.18828707050954416,0.061810775495452684,-0.28402726071096096,-0.19158635943359392,-0.0823532966625929,0.0044375
6383,US4579852082,IART,Integra LifeSciences Holdings Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Health Care,Health Care Equipment and Supplies,Small Cap,Value,1539.6,3314.98,19.79,18.625,15.897922061358173,15.499779380176307,16.302455271492168,-0.1966689205983745,-1.8787637481705004,0.0,-0.05886811520970187,0.5934,-0.7111,-0.4993,-0.2432,8.0,-0.1868994875003357,0.1390714328798191,-0.38905114270903446,-0.1992654785238735,0.05914591359750556,0.08925
6386,FR001400OKR3,CO,Casino Guichard-Perrachon S.A.,Europe,Europe,FR,EUR,ENXTPA,Consumer Staples,Consumer Staples Distribution and Retail,Small Cap,Value,78.18,3442.59,0.1718,0.05,0.13582878734074846,0.12876335026135352,0.14310088058849782,-0.20937842060099882,-1.9453338366078383,0.0,-0.7089639115250291,-0.2988,-0.9999,-1.0,-0.9202,2.0,-0.1848485538732992,0.22532480762714346,-0.495513831714608,-0.2122328000079129,0.21562926243418898,0.169875
6389,SE0001057910,SOSI,Sotkamo Silver AB,Europe,Europe,SE,SEK,NGM,Materials,Metals and Mining,Small Cap,Core,138.13,151.83,3.975,3.7,3.1143720793316714,2.712354955695347,3.5419339251223945,-0.21651016872159182,-1.9908227466795372,0.0,-0.06918238993710692,0.8531,0.8125,0.0529,0.8951,1.0,-0.16579022586750458,0.3347424948670313,-0.5837122789926685,-0.21960494035834233,0.45191337177872204,0.240625
6400,ROSNPPACNOR9,SNP,OMV Petrom S.A.,Europe,Europe,RO,RON,BVB,Energy,Oil Gas and Consumable Fuels,Mid Cap,Core,17007.01,15200.61,1.251,0.9625,0.9051281122113425,0.839491544344828,0.973381635788982,-0.27647632916759274,-2.310536819606952,0.0,-0.23061550759392485,0.3299,4.515,11.7829,0.4632,5.0,-0.26618196698032365,0.13963127866917985,-0.46882565161844475,-0.27975815982177077,-0.016822532190725773,0.0421875
