isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos,p_upside_pos,band_width,kalman_gain,p_upside_pos_cond,cvar05,exp_vol,ret_vol_ratio,expected_sharpe,tail_risk,starr,book_weight,weight
US87305R1095,TTMI,TTM Technologies Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,Electronic Equipment Instruments and Components,Mid Cap,Growth,13646.03,14281.06,131.41,212.0,235.009532328135,229.6029066962504,240.2837719903616,0.7883687111188997,1.4023653980712454,1.0,0.6132714405296401,0.9045,8.564,15.2035,1.105,4.0,0.8206989860474199,0.36432712120388816,0.2866442018210212,0.7888759558198822,1.470179763179508,0.99675,1.0,0.04544864707529362,0.8024386569558679,0.7998307313207613,0.743859419517369,0.021856013227785385,36.07102095439129,2.252643128338866,0.04450929160153072,17.712452450979626,0.0,0.01982680251324059
KYG1R24P1085,325,Bloks Group Limited,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Consumer Discretionary,Leisure Products,Small Cap,Core,1462.24,1063.14,46.54,77.7784,91.01816636793048,88.69892622063655,93.44838608980606,0.9556976013736719,1.768987430150697,1.0,0.6712161581435324,-0.3049,,,,9.0,0.9848330611594759,0.31951253585664546,0.5128827386147388,0.9623301884284297,1.5378280552652033,0.9996875,1.0,0.05218144968961875,0.8541924866396197,0.8539255514875448,0.9014941296460208,0.026826209884830837,35.625517189220275,3.082298660110592,0.054203471727651054,17.63166769419564,0.0,0.01973637441338999
KYG8924B1041,6110,Topsports International Holdings Limited,Asia / Pacific,Asia / Pacific,HK,HKD,SEHK,Consumer Discretionary,Specialty Retail,Small Cap,Value,1027.99,1233.91,1.3,1.9964,2.4328703424925333,2.3739295747773252,2.4941740172849083,0.8714387249942579,1.5884771050768418,1.0,0.5356923076923077,-0.5533,-0.8262,,-0.3668,16.0,0.8849396832131969,0.3094265997720226,0.4329121017235966,0.858860842018326,1.4217558890828503,0.9998125,1.0,0.049424928409620775,0.830271496608255,0.830115820702641,0.821987633403059,0.024161971679591845,36.066540286954705,2.859934097020739,0.04945109159119887,17.622234352241346,0.0,0.01972581500562388
BRLJQQACNOR5,LJQQ3,Lojas Quero-Quero S.A.,Latin America and Caribbean,Latin America and Caribbean,BR,BRL,BOVESPA,Consumer Discretionary,Specialty Retail,Small Cap,Core,45.58,373.03,1.12,3.9333,2.4490230996274174,2.3809206159914345,2.5185583353971315,1.186627767524479,2.2265186347008843,1.0,2.511875,-0.4932,-0.9475,,-0.4107,3.0,1.306791815298896,0.7627680020116475,0.28534018503946085,1.1918598516416228,2.6988729412310892,0.9878125,1.0,0.05620107030702837,0.9024749105435693,0.8914759975713196,1.1192497011430498,0.03241948149010256,36.60230555774768,1.713223171203426,0.06737806638142918,17.61148443778343,0.0,0.019713781865008193
US8776191061,TSHA,Taysha Gene Therapies Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Health Care,Biotechnology,Small Cap,Core,1765.63,1557.61,5.52,13.1539,10.188571872578605,9.945070862026636,10.436014004015092,0.8457557740178608,1.5318306782139737,1.0,1.3829528985507247,0.0036,-0.7053,,1.0186,13.0,0.8671580058422632,0.28488003217873875,0.43966137996384164,0.8448625263180444,1.3707195756292279,0.999625,1.0,0.048185668033591096,0.822145145414484,0.8218368409849536,0.7977026184238164,0.023552771962423384,35.908969668928926,3.043940985299359,0.04805315559404444,17.600421107884145,0.0,0.019701397896291325
KYG857001054,1686,SUNeVision Holdings Ltd.,Asia / Pacific,Asia / Pacific,HK,HKD,SEHK,Information Technology,IT Services,Small Cap,Core,2451.79,4603.76,4.71,8.6571,8.722979801876416,8.515749070689713,8.933047722711834,0.852012696789048,1.5457039361948952,1.0,0.8380254777070064,0.0239,-0.3227,1.1686,0.1007,7.0,0.8766499192907622,0.30897929827250875,0.4138408708571353,0.8503918151855483,1.4138787797239492,0.998625,1.0,0.047839002439551054,0.8241634360800929,0.8230302113554827,0.8035833727067632,0.023680357829461998,35.97972222062513,2.837244838706275,0.04842932408228484,17.59290910898154,0.0,0.01969298918388214
US5303073051,LBRDK,Liberty Broadband Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Communication Services,Media,Small Cap,Value,4144.94,6858.94,28.89,48.5,51.366536723053585,50.21163551539112,52.56102866361229,0.7780040402580006,1.3785345452751299,1.0,0.6787815853236414,-0.4056,-0.8257,-0.5136,-0.2969,2.0,0.8758904890554374,0.6287439549507234,0.06626773875831325,0.7713439815198723,2.010355148823271,0.967125,1.0,0.0457378148908129,0.7986347634469914,0.7723796455986716,0.7337700235700058,0.0217620491172953,35.750495556031304,1.3930797777993487,0.04423401668799487,17.58836521100177,0.0,0.019687902877051702
CNE100006JG0,6181,Laopu Gold Co. Ltd.,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Consumer Discretionary,Textiles Apparel and Luxury Goods,Mid Cap,Core,8456.2,9104.31,375.2,822.8274,732.7822733377537,714.6673758691325,752.1410757177085,0.9530444385334587,1.7634165237006525,1.0,1.1930367803837953,-0.3786,,,,18.0,0.9785276966497611,0.2888263314704857,0.5443031612604577,0.9576423681577146,1.474740287430234,1.0,1.0,0.05113892790813147,0.8534956290760803,0.8534956290760803,0.898664685964045,0.026965214203426624,35.343477390672824,3.387944899856729,0.05437975256941363,17.525722231209762,0.0,0.01961778215308
KYG2121R1039,772,China Literature Limited,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Communication Services,Media,Small Cap,Core,2366.74,1296.83,18.17,35.7537,33.704669479716095,32.88645284667627,34.544709573693005,0.854962547039961,1.552219225579676,1.0,0.9677325261419923,-0.4491,-0.7693,,-0.1748,12.0,0.8847758250941752,0.3210224133622414,0.4140347166170526,0.856953638481543,1.4349867265138105,0.99925,1.0,0.049199613958970725,0.8251015783165526,0.8244827521328152,0.8061397901955971,0.02406002039083015,35.534572837095666,2.756118539598028,0.04882275684436388,17.511558181062817,0.0,0.01960192732858134
US1421521071,CAI,Caris Life Sciences Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Health Care,Biotechnology,Small Cap,Growth,4387.2,3994.7,15.52,27.0,27.728081464317864,27.080794492392847,28.36028101483273,0.7866031871338889,1.3983084549006803,1.0,0.7396907216494846,-0.4248,,,,12.0,0.7991577726342732,0.25418932510718906,0.4156159023323975,0.7802734923009281,1.2380328151575244,0.9998125,1.0,0.046144069653228655,0.8017920415413617,0.8016417055335727,0.7415684539402614,0.02210103669312408,35.5912348391608,3.1439470256954203,0.045034733193627496,17.466589260157864,0.0,0.019551590430487552
US0396971071,ARDX,Ardelyx Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGM,Health Care,Biotechnology,Small Cap,Growth,1242.56,1238.61,5.03,16.3,10.364313049005464,10.085850623459685,10.654234814939567,1.060499612128329,1.982951523408076,1.0,2.2405566600397613,-0.1372,1.994,-0.5255,0.1294,10.0,1.0978195106699,0.3487712988214828,0.5908278620857224,1.0689066348262966,1.7021273573362368,0.999625,1.0,0.054840507884352595,0.8788505229516291,0.8785209540055222,0.999740332626464,0.03014386111996961,35.18127979384076,3.1476773300426153,0.06075927950186499,17.454117639689542,0.0,0.019537630062394548
KYG525681477,268,Kingdee International Software Group Company Limited,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Information Technology,Software,Mid Cap,Growth,3132.05,2621.7,6.99,14.9362,12.857090753730441,12.551513601447098,13.159809450219456,0.8393549003906189,1.5175978708746156,1.0,1.1367954220314735,-0.474,-0.728,1.9374,-0.1354,16.0,0.8536189099962238,0.2523536249030575,0.47551271143494406,0.8365783677945634,1.28507099176924,0.9999375,1.0,0.04731209108062509,0.8200590102852608,0.820007756597118,0.7911333846458697,0.02312874274875034,36.290554549748265,3.3826298723632138,0.0482215157447492,17.406232206253605,0.0,0.019484028505262763
US91347P1057,OLED,Universal Display Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,Semiconductors and Semiconductor Equipment,Small Cap,Core,3705.94,3211.65,79.27,125.8889,132.96425892222877,130.08921300439758,135.81207848730875,0.6773591386682042,1.139678593307407,1.0,0.5881026870190488,-0.3139,-0.6245,0.2336,-0.1662,9.0,0.6960488674874558,0.2783165699986749,0.2832227780957547,0.67426764164869,1.1836329316035346,0.997375,1.0,0.0430406300858526,0.7575187944605729,0.7555303076251139,0.6384400719254121,0.01898857751291828,35.67192635716837,2.500924998791016,0.03891906674279211,17.404300651521982,0.0,0.019481866379249247
US82846H4056,QXO,QXO Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Industrials,Trading Companies and Distributors,Mid Cap,Growth,14186.8,16099.7,13.67,30.2667,24.62398831736685,24.042920198969902,25.225990934762816,0.8013158973933322,1.4319018556987615,1.0,1.2140965618141917,-0.2913,-0.773,0.9551,-0.1361,15.0,0.8201559388361084,0.268558085392619,0.4186436579471798,0.7995434060468695,1.2871519741206985,0.9996875,1.0,0.04804545553485807,0.8070626828302131,0.8068104757418286,0.7549562443823621,0.023348248523881742,34.320171663998984,3.0539238378806575,0.046359653010970114,17.284769090133533,0.0,0.019348066236761524
BRPLPLACNOR5,PLPL3,Plano & Plano Desenvolvimento Imobiliário S.A.,Latin America and Caribbean,Latin America and Caribbean,BR,BRL,BOVESPA,Consumer Discretionary,Household Durables,Small Cap,Core,300.88,410.47,7.54,18.7778,15.320013431327169,14.909931395793906,15.71776070797267,1.0318320200699116,1.9255439139090393,1.0,1.4904244031830238,-0.4496,0.7176,,-0.0604,9.0,1.0726306962518384,0.40483222607047015,0.4907777138737991,1.0331334175112854,1.793412443046946,0.999125,1.0,0.052730326627969705,0.8726178072191388,0.8718542666378222,0.9721107446182492,0.0285556110633926,36.13412501589532,2.649568456205665,0.05972127545166239,17.277461210704764,0.0,0.01933988600973617
KR7064350002,A064350,Hyundai Rotem Company,Asia / Pacific,Asia / Pacific,KR,KRW,KOSE,Industrials,Machinery,Large Cap,Growth,11833.98,10196.76,158400.0,304050.0,292497.77918489254,285518.63829909416,299709.40805553895,0.8465768887935194,1.5336463503355369,1.0,0.9195075757575758,-0.1542,5.7163,6.4695,0.7407,20.0,0.8543822490513774,0.19561816351667607,0.5529204653921954,0.8438685063569804,1.1830021344283121,0.999875,1.0,0.048515820516622024,0.822407393481456,0.8223045925572707,0.7975647626389306,0.023839179294711042,35.51199805696922,4.3676018304841255,0.04901212615458883,17.27280481820635,0.0,0.019334673779823588
CNE0000018M9,600418,Anhui Jianghuai Automobile Group Corp.Ltd.,Asia / Pacific,Asia / Pacific,CN,CNY,SHSE,Consumer Discretionary,Automobiles,Mid Cap,Core,6536.84,4964.75,19.64,52.14,38.920508039723934,37.90384084360477,39.97648213072189,0.9816959287028519,1.823106215962746,1.0,1.654786150712831,-0.6032,0.1299,0.7475,0.1326,5.0,1.1268400341775229,0.8174604429332462,0.11342077227231466,0.9889946287151405,2.5787248980325117,0.972375,1.0,0.053253191993323824,0.8607935491249992,0.837014127330421,0.9246222181791629,0.028003608977186078,35.056050436306904,1.3784642962467368,0.057073710523689036,17.20049248060346,0.0,0.019253729458821676
GB00BR3VDF43,DATA,GlobalData Plc,Europe,Europe,GB,GBP,LSE,Industrials,Professional Services,Small Cap,Core,708.06,924.0,0.735,1.24,1.2924330782069,1.2629316370148853,1.3227811823900484,0.7584123513019058,1.333108150029759,1.0,0.6870748299319728,-0.3229,-0.6495,0.8995,-0.2337,8.0,0.7862688118051104,0.33228255242665783,0.2982004147787892,0.7579677149837344,1.3675019818593914,0.9974375,1.0,0.04630765521584864,0.7912333032290778,0.7892057678895533,0.714315802564453,0.02151784887144992,35.2457327789942,2.3662657159185554,0.04409654873745272,17.198904971394278,0.0,0.019251952447328458
KYG248141163,1415,Cowell e Holdings Inc.,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Information Technology,Electronic Equipment Instruments and Components,Small Cap,Core,2350.32,2216.75,21.22,39.772,38.45611285836036,37.54188923661712,39.3787481715082,0.8122579103845587,1.4567437742602183,1.0,0.8742695570216776,-0.2205,3.5805,12.3918,0.1679,6.0,0.8476877584857561,0.38469652055464787,0.29108254807421796,0.8109384313222983,1.5308972813539599,0.9964375,1.0,0.04776507031941848,0.8109047806118247,0.8080159323308951,0.7650227535904324,0.02303516369206823,35.261651327628556,2.203523331231529,0.047235156794126376,17.196045604861034,0.0,0.019248751755853097
