index,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,run_id,exported_at,source_sha,source_dirty
sector_effect[Health Care],0.09340831962363151,0.014478290991645276,0.07012799869242632,0.116858944460325,16869.75883142541,6076.940267915145,1.0005859495569123,0.00011127344492637754,7.836898000458106e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sector_effect[Industrials],0.017365800982810767,0.01032633572028016,0.00045534258516176856,0.033762459444014056,15842.36103985639,6556.322810068306,1.0008876570480767,8.213221991973384e-05,5.823910711809345e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sector_effect[Information Technology],-0.011292692411896005,0.015525244213650424,-0.03624026935831855,0.013629700779658308,15200.765006613514,6186.913475373331,1.0005819900561255,0.00012575882354057844,9.12858049052331e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sector_effect[Materials],0.016653523429021797,0.014641349554692663,-0.006789126949706292,0.03981423475714258,16315.48665424572,5794.211263636782,1.0002034512285232,0.00011458640501552882,8.283502836419824e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sector_effect[Real Estate],-0.017970869313378393,0.021271586871249876,-0.05249498055437874,0.015843954218899076,16690.173482446986,6211.011260773023,1.0004475548810925,0.00016478343015406476,0.00011509370218463329,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sector_effect[Utilities],-0.07985023038331628,0.017975626542344986,-0.10832987952346629,-0.051099545965075606,9906.93422798009,6302.469108098811,1.0006107919072382,0.00018059651234821658,0.0001266341251325271,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
style_class_effect[Core],-0.0015842753532482891,0.005975446138633925,-0.011061857022932992,0.007997416832840026,13813.02160348032,6834.249293326229,1.000538482562592,5.084624522711623e-05,3.570542319600538e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
style_class_effect[Growth],-0.010819762862344094,0.009177052356632185,-0.02554600304823984,0.0037968403541784757,12393.880012765267,6775.4994598612575,0.9997979340846205,8.245681289406582e-05,5.738316268083951e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
style_class_effect[Value],0.012404038215592383,0.0073033764801011215,0.0004824403765959171,0.02411217835501248,13908.04060795902,6844.638080799293,1.0001613908436948,6.194836957606112e-05,4.417872920825328e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
size_class_effect[Large Cap],-0.01713174866184918,0.007736481623074554,-0.02955933916619426,-0.0047270992236739156,9684.399029481418,6688.738233009491,1.000006302533395,7.853456274595325e-05,5.36997780157421e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
size_class_effect[Mid Cap],-0.0050872735539363514,0.0064430897268722325,-0.015439104008200978,0.0052435290208661155,17413.771067578742,6427.600728031581,1.0007255889666253,4.8815267477510714e-05,3.42083811370935e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
size_class_effect[Small Cap],0.022219022215785537,0.007996691015544712,0.009405109294976767,0.03491896475995237,7282.399637660858,6573.605617036754,1.0005201322485227,9.362421578773479e-05,6.51145077324661e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
rho_inf,0.002768925727631614,0.0018999342456137327,0.0005385777598889369,0.006298675364317736,12568.20675339164,5243.942172735972,1.0017415477935803,1.548847060134264e-05,1.6690049122950365e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
obs_share,0.0003999460658417562,0.0002791808655460776,7.746744528914351e-05,0.0009084829681235128,13268.343690447362,4723.66300080086,1.0000888064897946,2.187050820009721e-06,2.4331144619590894e-06,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
ou_length_scale_days,83.4685103736839,1.8297135236491189,80.54726988140445,86.37002163724598,8849.254463853846,5912.9130981048775,0.9998421154449704,0.019443879690747443,0.013591695742051556,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_n_exponent,0.3029012383068289,0.02091768344881693,0.26975698104794876,0.3364150608816189,1560.701275121658,2371.1071376347704,1.0003880862606849,0.0005289744517377003,0.00037634571378417374,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_sector_offset[Communication Services],0.036695251821532354,0.022998342301384846,-0.00012734178799313683,0.07382466084761938,17424.542672558837,5082.879093684035,1.0005801187267522,0.00017423221231299566,0.00012335783689790546,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_sector_offset[Consumer Discretionary],-0.009972176317744526,0.015351282482243241,-0.03459984933186273,0.01476777843220864,14496.95101414615,6211.355889005583,1.0003318059845467,0.00012784548925981362,8.771591245483471e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_sector_offset[Consumer Staples],0.005626157336581577,0.018879270687713882,-0.02421129545156217,0.03613615277876051,17062.721204543897,5625.347983825171,1.0004989585594555,0.0001443353592381495,0.00010417437742521342,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_sector_offset[Energy],-0.0327618558160093,0.023042746194373014,-0.06886644656584207,0.004276903805947457,19898.335743254418,6496.018470994644,1.0007314703393837,0.00016303168746226737,0.00011766854609690934,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_sector_offset[Financials],-0.07040820908672825,0.01476126584071011,-0.09358215903640046,-0.046425466265937625,12420.78712373591,6218.871769978312,1.000168682275146,0.0001328022547149531,9.293040358631555e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_sector_offset[Health Care],0.14383332236875518,0.016216557686063632,0.1179116420117801,0.16987047320880214,14027.841982510114,6223.156678975573,1.0002630284160359,0.00013678368742885675,9.776909349764453e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_sector_offset[Industrials],-0.008536854166592125,0.012992869575836466,-0.02913497531614032,0.012408644770772274,13193.876363728596,6454.306086660365,1.000430537428693,0.00011315601424612658,7.898041963028414e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_sector_offset[Information Technology],0.007745493168863888,0.016866658209881695,-0.019193342198766793,0.03475704305471778,12151.358068049833,6726.278956983025,1.0003404800889693,0.00015299902302260896,0.00010711762362640838,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_sector_offset[Materials],-0.016102873252429886,0.017464812560707216,-0.04360066611091217,0.01186566399962132,17140.58087102019,6520.413684313264,1.0000673804437488,0.00013327198559625808,9.37398101929181e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_sector_offset[Real Estate],-0.06604932461796802,0.031640279727839934,-0.11632630560537197,-0.015720582975227552,15756.140283374323,5712.093751337042,1.0002084167632144,0.0002521850257015033,0.00018008733314621905,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_sector_offset[Utilities],0.0099310685617391,0.027444536286881635,-0.03434663959165903,0.05371301203102483,6219.1076229033815,5704.992661371463,1.000274704285494,0.00034756640407712446,0.0002469140837575493,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_time_free[step0],1.255229858163053,0.016917880398429837,1.2283972074299363,1.2825487301540746,6861.15928754769,6396.8027429401245,1.0009912017723146,0.0002041341775374665,0.00014264068704904196,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_time_free[step1],1.1226697426609502,0.013501903043498952,1.1013248311636927,1.1445914971084752,7725.341555396046,6109.1895579946495,1.0004861116168138,0.00015441969338278997,0.00010868598532279382,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_time_free[step2],1.0286344121906865,0.005258901427579584,1.0202881646470903,1.0370120892136288,15368.257412890725,6503.86152452421,1.0005180446775352,4.244930491757038e-05,3.088707929397355e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
nu_tail,8.50609900753472,0.5617578421255381,7.6441737256049755,9.42664413872415,14524.896428830636,6316.341062504099,1.000516090369489,0.00466608568406488,0.00341555959124163,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
signal_exponent,0.34816788087153605,0.021091116658675236,0.3142296815655636,0.38229145413284404,8451.12887303916,6669.43667427277,1.0005020239687237,0.00022923899820353992,0.00016303579475251986,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
risk_loading,0.11970599817484656,0.08984106802494997,0.01026530828021577,0.28466473671889564,7581.365657895889,3708.8092696405083,1.0003603214322851,0.0008255696377819628,0.0007177703329436228,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
size_loading,0.19956924725903383,0.1508919281267417,0.018265050289782266,0.47448581813007473,6937.162625708747,3774.426904397012,0.9999346008991371,0.0014027842126673508,0.0011919830848751613,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
volume_loading,0.0787202781349327,0.060218034166244494,0.006412368409543886,0.19029524971021058,7046.137537460686,3788.0827791158563,0.9999474276080531,0.0005627285933364589,0.00047264074881372487,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
