isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,mcap_country_r,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos
CA66987E2069,NG,NovaGold Resources Inc.,United States and Canada,United States and Canada,CA,CAD,TSX,Materials,Metals and Mining,Small Cap,Growth,3323.26,0.13,3128.39,10.56,20.6998,23.453429289453652,22.50830963684501,24.42767213631406,1.2209686827134183,2.952014175115263,1.0,0.9602083333333333,-0.175,0.127,0.1865,0.2188,4.0,1.249121658234768,0.410658349257951,0.7499780032602896,1.2200030910013644,1.8053258823453835,0.9984375
US0396971071,ARDX,Ardelyx Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGM,Health Care,Biotechnology,Small Cap,Growth,996.75,0.44,997.43,4.0,13.0,8.807981555390143,8.482763495391323,9.144608760977796,1.2019953888475396,2.9115822386148147,1.0,2.25,-0.3139,1.5,-0.6105,0.0217,10.0,1.2243983294675123,0.3599330919333395,0.7838333902129654,1.2015210761832098,1.7179852789635437,0.99890625
CA2926717083,EFR,Energy Fuels Inc.,United States and Canada,United States and Canada,US,CAD,TSX,Energy,Oil Gas and Consumable Fuels,Small Cap,Growth,3530.03,0.12,3245.76,19.69,40.375,43.01007702719307,41.39193959488807,44.70754399988138,1.1843614538950225,2.8734489767708906,1.0,1.0505332656170645,-0.0096,1.9743,5.7432,0.342,4.0,1.2104809051169545,0.35964823332546886,0.7375189244735283,1.1855699488175526,1.743419250551255,0.99825
CA39944C1005,GRGD,Groupe Dynamite Inc.,United States and Canada,United States and Canada,CA,CAD,TSX,Consumer Discretionary,Specialty Retail,Small Cap,Core,4804.97,0.1,5167.44,61.45,89.2308,131.93580835588503,126.41269774558666,137.6633265663656,1.1470432604700518,2.7915668975517556,1.0,0.4520878763222132,-0.2567,,,,13.0,1.1554984876120562,0.19193764061737184,0.8849051833288406,1.1462733293996303,1.451689695251532,1.0
US35834F1049,TE,T1 Energy Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Information Technology,Semiconductors and Semiconductor Equipment,Small Cap,Core,1633.74,0.38,2209.65,5.85,9.7143,12.549988617431245,11.94506861157615,13.165275516104465,1.1452971995608976,2.7872781265932356,1.0,0.6605641025641026,-0.1243,-0.5101,,-0.0906,7.0,1.1645925407853353,0.37566664778672265,0.7303209227900679,1.1419733404291847,1.6504024510027846,0.99896875
US30233G2093,EYPT,EyePoint Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGM,Health Care,Pharmaceuticals,Small Cap,Core,1197.49,0.42,1039.38,13.89,40.9286,29.780365385114838,28.63835277523613,30.990353813031263,1.1440147865453465,2.7851047342076076,1.0,1.9466234701223901,-0.2397,0.5081,-0.6475,0.0395,14.0,1.1622894521565967,0.32064881232362696,0.7623208581452188,1.1439125211320098,1.6111482740829455,0.998875
KYG6391R1074,2610,Nanshan Aluminium International Holdings Limited,Asia / Pacific,Asia / Pacific,ID,HKD,SEHK,Materials,Metals and Mining,Small Cap,Core,2200.11,0.15,1839.94,27.82,60.7684,58.89012471490313,56.696273651727005,61.17778241411718,1.116826912829018,2.7247242532392004,1.0,1.1843421998562185,-0.4181,,,,4.0,1.1489101608891483,0.4644832223949747,0.5859546274784475,1.1120657883502423,1.7903152510533187,0.9959375
CA03062D8035,USA,Americas Gold and Silver Corporation,United States and Canada,United States and Canada,CA,CAD,TSX,Materials,Metals and Mining,Small Cap,Core,1697.07,0.17,1633.42,7.01,12.6429,14.700726254720378,14.111897695540444,15.297093851453074,1.097107882271095,2.680259712041725,1.0,0.8035520684736092,-0.0043,0.6994,-0.4566,0.7613,7.0,1.1119804219585958,0.2644279472176303,0.7479249641139917,1.0973421060449422,1.5054574706401906,0.99953125
GB00B125SX82,PANR,Pantheon Resources Plc,Europe,Europe,GB,GBP,AIM,Energy,Oil Gas and Consumable Fuels,Small Cap,Core,272.35,0.53,265.51,0.1384,0.4,0.2889940582136646,0.2777001294302222,0.300650648446482,1.0881073570351538,2.65994282231592,1.0,1.8901734104046244,0.6149,-0.7479,-0.9209,0.0721,1.0,1.1682379910084686,0.8368106099116529,0.45396672349980344,1.0976257023563254,2.0313340118475445,0.99328125
BRLJQQACNOR5,LJQQ3,Lojas Quero-Quero S.A.,Latin America and Caribbean,Latin America and Caribbean,BR,BRL,BOVESPA,Consumer Discretionary,Specialty Retail,Small Cap,Core,42.71,0.9,378.72,1.05,3.8333,2.1828687759586995,2.1013118249702707,2.266087916227952,1.0789226437701878,2.639164326037579,1.0,2.6507619047619047,-0.5249,-0.9454,,-0.4349,3.0,1.127072462712417,0.5062110768341788,0.4778298681250226,1.0833377822528003,1.8914057915343268,0.9941875
KR7007660004,A007660,ISU Petasys Co. Ltd.,Asia / Pacific,Asia / Pacific,KR,KRW,KOSE,Information Technology,Electronic Equipment Instruments and Components,Mid Cap,Growth,4292.45,0.04,4297.35,82300.0,184928.5714,170910.74321346337,163958.77225207296,178017.63950303296,1.0766797474296907,2.6338447477780504,1.0,1.2470057278250304,-0.3081,25.3151,20.8179,0.4153,14.0,1.0891678470762927,0.22729880876349756,0.800361653047467,1.079401810613719,1.3969725255311642,0.99984375
US68375N1037,OPK,OPKO Health Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Health Care,Health Care Providers and Services,Small Cap,Value,1022.47,0.44,1119.79,1.37,4.375,2.8344562901211803,2.7254464845773048,2.945808833792288,1.068946197168741,2.6163227176623054,1.0,2.1934306569343067,0.0873,-0.6404,-0.8645,-0.0903,4.0,1.2125116740519624,2.9297872116062758,0.2246772801891977,1.063568058105105,2.421447742186391,0.97834375
NO0010872468,AGLX,Agilyx ASA,Europe,United States and Canada,US,NOK,OB,Industrials,Commercial Services and Supplies,Small Cap,Core,244.88,0.48,318.44,18.5,32.3808,38.257533307008245,36.804789376203864,39.74659416204356,1.0679747733517875,2.614093861989759,1.0,0.7503135135135135,-0.2449,-0.251,,-0.1439,1.0,1.1525729202770918,2.9712169176307124,0.4361885264263368,1.0667577259979864,1.9998805795920773,0.9928125
