Name,Currency,Issuer,ISIN,Sector,Maturity,S&P Rating,Coupon,Coupon frequency,YTM (Ask),Ask,Minimum size,Country of issue,Amount issued,Increment size,Subordinated,EU Tax,W/Tax,Accrued days,Accrued interest
CANADA 3.25% 01.06.2035,CAD,Canada,CA135087S620,Sovereign,2035-01-06,AAA,3.250,Semi-Annual,3.464,97.703,1000,Canada,39000000000,1000,No,Yes,No,155.000,1.380
CANADA 1.5% 01.06.2031,CAD,Canada,CA135087M276,Sovereign,2031-01-06,AAA,1.500,Semi-Annual,3.199,91.718,1000,Canada,42000000000,1000,No,Yes,No,155.000,0.637
CANADA 2.75% 01.03.2030,CAD,Canada,CA135087S471,Sovereign,2030-01-03,AAA,2.750,Semi-Annual,3.067,98.542,1000,Canada,33000000000,1000,No,Yes,No,65.000,0.490
CANADA 0% 30.12.2026,CAD,Canada,CA1350Z7ER12,Sovereign,2026-12-30,NaN,0.000,NaN,2.418,98.407,1000,Canada,7600000000,1000,No,Yes,No,124.000,0.000
CANADA 0% 21.04.2027,CAD,Canada,CA1350Z7E599,Sovereign,2027-04-21,NaN,0.000,NaN,2.645,97.491,1000,Canada,5800000000,1000,No,Yes,No,12.000,0.000
CANADA 0% 24.03.2027,CAD,Canada,CA1350Z7EZ38,Sovereign,2027-03-24,NaN,0.000,NaN,2.526,97.748,1000,Canada,10400000000,1000,No,Yes,No,40.000,0.000
CANADA 1.5% 01.12.2031,CAD,Canada,CA135087N266,Sovereign,2031-01-12,AAA,1.500,Semi-Annual,3.242,90.787,1000,Canada,32000000000,1000,No,Yes,No,155.000,0.637
CANADA 0% 03.06.2026,CAD,Canada,CA1350Z7EN08,Sovereign,2026-03-06,NaN,0.000,NaN,2.204,99.820,1000,Canada,21200000000,1000,No,Yes,No,152.000,0.000
CANADA 2% 01.06.2032,CAD,Canada,CA135087N597,Sovereign,2032-01-06,AAA,2.000,Semi-Annual,3.287,92.504,1000,Canada,24000000000,1000,No,Yes,No,155.000,0.849
CANADA 3.25% 01.09.2028,CAD,Canada,CA135087Q491,Sovereign,2028-01-09,AAA,3.250,Semi-Annual,2.934,100.480,1000,Canada,20000000000,1000,No,Yes,No,65.000,0.579
CANADA 3% 01.03.2032,CAD,Canada,CA135087S968,Sovereign,2032-01-03,AAA,3.000,Semi-Annual,3.225,98.377,1000,Canada,3500000000,1000,No,Yes,No,65.000,0.534
CANADA 3.25% 01.03.2036,CAD,Canada,CA135087U360,Sovereign,2036-01-03,AAA,3.250,Semi-Annual,3.522,97.089,1000,Canada,2000000000,1000,No,Yes,No,65.000,0.579
CANADA 0.75% 19.05.2026,USD,Canada,US427028AB18,Sovereign,2026-05-19,AAA,0.750,Semi-Annual,3.645,99.888,5000,Canada,3500000000,5000,No,Yes,No,166.000,0.346
CANADA 4.625% 30.04.2029,USD,Canada,US43358BAA17,Sovereign,2029-04-30,AAA,4.630,Semi-Annual,3.886,101.909,5000,Canada,3000000000,5000,No,Yes,No,5.000,0.064
CANADA 3.25% 01.12.2033,CAD,Canada,CA135087Q723,Sovereign,2033-01-12,AAA,3.250,Semi-Annual,3.359,98.694,1000,Canada,21000000000,1000,No,Yes,No,155.000,1.380
CANADA 1.25% 01.06.2030,CAD,Canada,CA135087K379,Sovereign,2030-01-06,AAA,1.250,Semi-Annual,3.071,92.733,1000,Canada,44200000000,1000,No,Yes,No,155.000,0.531
CANADA 2.5% 01.08.2027,CAD,Canada,CA135087T461,Sovereign,2027-01-08,AAA,2.500,Semi-Annual,2.748,99.591,1000,Canada,29220667000,1000,No,Yes,No,93.000,0.637
CANADA 2.25% 01.12.2029,CAD,Canada,CA135087N670,Sovereign,2029-01-12,AAA,2.250,Semi-Annual,3.018,97.118,1000,Canada,5000000000,1000,No,Yes,No,155.000,0.956
CANADA 0.5% 01.12.2030,CAD,Canada,CA135087L443,Sovereign,2030-01-12,AAA,0.500,Semi-Annual,3.139,88.461,1000,Canada,40000000000,1000,No,Yes,No,155.000,0.212
CANADA 0% 23.09.2026,CAD,Canada,CA1350Z7EY62,Sovereign,2026-09-23,NaN,0.000,NaN,2.287,99.115,1000,Canada,10400000000,1000,No,Yes,No,40.000,0.000
CANADA 0% 27.01.2027,CAD,Canada,CA1350Z7ET77,Sovereign,2027-01-27,NaN,0.000,NaN,2.456,98.192,1000,Canada,9000000000,1000,No,Yes,No,96.000,0.000
CANADA 0% 15.07.2026,CAD,Canada,CA1350Z7EC43,Sovereign,2026-07-15,NaN,0.000,NaN,2.222,99.565,1000,Canada,26400000000,1000,No,Yes,No,292.000,0.000
CANADA 3.25% 01.12.2034,CAD,Canada,CA135087S216,Sovereign,2034-01-12,AAA,3.250,Semi-Annual,3.427,98.065,1000,Canada,30000000000,1000,No,Yes,No,155.000,1.380
CANADA 0% 04.11.2026,CAD,Canada,CA1350Z7EM25,Sovereign,2026-04-11,NaN,0.000,NaN,2.332,98.826,1000,Canada,9400000000,1000,No,Yes,No,180.000,0.000
CANADA 0% 02.12.2026,CAD,Canada,CA1350Z7EP55,Sovereign,2026-02-12,NaN,0.000,NaN,2.371,98.622,1000,Canada,7800000000,1000,No,Yes,No,152.000,0.000
