index,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,run_id,exported_at
style_class_effect[Core],-0.0052225046583826325,0.006068761310624298,-0.014893178173887094,0.004532985176989374,13135.32930538827,6722.727631113202,1.0006526762804602,5.291239504180532e-05,3.678956479090924e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
style_class_effect[Growth],-0.003966703406980866,0.009395270250102164,-0.019069900967239522,0.011170815659168606,11732.23495818673,6886.087762874766,1.0002395741134245,8.667409876020388e-05,6.026296198184695e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
style_class_effect[Value],0.0091892080653635,0.007321635603321992,-0.002674079454571597,0.020809910050543452,14004.84532774161,7174.125401766577,1.0001693410464034,6.180778000147277e-05,4.354322123699341e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
size_class_effect[Large Cap],-0.022151780496300212,0.007697639880066768,-0.034675842377639,-0.009816558120695453,10023.53061652455,7083.875550052548,1.000044074891348,7.68264044259849e-05,5.39093137342515e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
size_class_effect[Mid Cap],-0.005053837097050461,0.006409074324667538,-0.015130229005935698,0.00526828065746159,17102.624651566744,6237.392537580421,1.0005614437045376,4.8922456852407166e-05,3.41286960061473e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
size_class_effect[Small Cap],0.027205617593350682,0.007899511821202123,0.014420873307970844,0.03994951923753381,8299.404686137195,7234.691272159125,1.0003075526982148,8.676988104829367e-05,5.972951882942604e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
rho_inf,0.0034638839564302775,0.00238199676245164,0.000634144087131281,0.007856329129965594,12540.538424778388,5335.168660275678,1.0000227909154633,1.9431107635872404e-05,1.9860275590081927e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
obs_share,0.0005823005433600796,0.0004085153224442819,0.00010725958066956623,0.001367033053046477,12972.220679298429,4909.980319861379,0.9997386186016064,3.2542776984580548e-06,3.3929593289674122e-06,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
ou_length_scale_days,84.50592457743721,1.8972203504259193,81.52885718580197,87.56630132154729,11387.375920559283,6763.641236658814,1.0002994848858815,0.017803942600359807,0.012526813957650026,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_n_exponent,0.27161719974717796,0.021220282466961376,0.23786779819631912,0.3056126346880609,1578.7510638605634,2453.9334690862133,1.002100015905333,0.0005341880489791863,0.00037628297205128915,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_sector_offset[Communication Services],0.05624317249993001,0.023181875795207432,0.019713295575775638,0.09332509795228687,18513.877706623145,6074.187624919739,1.0008209408417654,0.0001707257122499064,0.00011685334746132039,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_sector_offset[Consumer Discretionary],-0.009395137965758402,0.015607505281517579,-0.03438377721372014,0.01586453197498958,14677.667739743629,5794.469745322762,0.9998880639256355,0.00012869690948822196,9.073063863618523e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_sector_offset[Consumer Staples],-0.04182544453333709,0.019334199483516834,-0.0726835243801933,-0.010494838722166533,18153.227734397573,6210.100476626086,1.0017549798634366,0.00014376600531068362,0.00010051216075322578,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_sector_offset[Energy],0.07923510789382857,0.023481057653004758,0.041024090423258795,0.1171645493952388,17994.790956651366,5387.882651280025,1.001356378045004,0.00017514744491897805,0.00012413622038733173,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_sector_offset[Financials],-0.08340530919549008,0.014802538021819463,-0.10696812881529941,-0.059257414373577844,12883.892242301567,6066.132808119755,1.0000064664106567,0.00013049350355589267,9.145595944225164e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_sector_offset[Health Care],0.19131747660605442,0.01631332426222554,0.16519253249308444,0.21771949844081667,17849.54144966498,6324.307928664085,1.0009679886318816,0.00012205407961909834,8.758746337500219e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_sector_offset[Industrials],-0.03432371037892942,0.013233255871937296,-0.0555712945970822,-0.013051572059325443,13388.023769542795,6208.167915950135,1.0012961844071309,0.00011423253848906593,7.86929264827216e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_sector_offset[Information Technology],-0.03519523382932464,0.016806024511460165,-0.062134059919068764,-0.008408128378832806,12028.86827418763,7248.791678917219,1.000201653492805,0.00015326116297593493,0.00010717192711833843,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_sector_offset[Materials],-0.021575531692713288,0.017933150664370148,-0.05026904369348072,0.007439250613489289,17776.87422243032,6646.000969500443,1.0014317017298666,0.00013448122156944605,9.620862608843541e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_sector_offset[Real Estate],-0.09840133964077448,0.030394541994486574,-0.14707563749337382,-0.04961823140326932,16511.427166093585,6275.931733517955,1.0005559174556946,0.0002369434588577833,0.00015872001839631583,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_sector_offset[Utilities],-0.002674049763485601,0.027159743902559923,-0.046011477126467484,0.040948588338817,7270.437608133835,6452.388576310198,1.000722945336772,0.00031811103286970646,0.00022865057476218666,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_time_free[step0],1.2284818821602308,0.016888427393686734,1.201255033886306,1.2556673820943045,6930.9890234260665,6776.2930415163655,1.0006932613462238,0.00020272853196874914,0.00014168815463759817,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_time_free[step1],1.09148458563678,0.013004231720794282,1.0708692050108617,1.1121219980548063,8406.711191935809,6886.609858764283,0.9998939288566485,0.00014179161307893975,9.920180558716517e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_time_free[step2],0.9905613584875801,0.0049047631447389686,0.9828332792987111,0.9983943722006147,14310.590444668589,6798.157332609736,0.9996941971053106,4.098217474548493e-05,2.917483995156684e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
nu_tail,7.284797411815964,0.4656064204486621,6.566292167656639,8.044677977049457,16565.547240861793,6876.085361061571,1.000155845186606,0.0036273520161409735,0.0026334938571476235,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
signal_exponent,0.39218325972747814,0.02298419122163995,0.3554392882604294,0.42851195544258713,8756.147751460325,6933.134668856138,1.0005217880889992,0.00024573415630624237,0.0001764658432221189,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
